index,Q1_A1_DA_Pct,Q2_A1_DA_Pct,Q3_A1_DA_Pct,Q4_A1_DA_Pct,Q5_A1_DA_Pct,Q1_A2_Dom_Pop_Pct,Q2_A2_Dom_Pop_Pct,Q3_A2_Dom_Pop_Pct,Q4_A2_Dom_Pop_Pct,Q5_A2_Dom_Pop_Pct,Q1_A3_Prop_Pop_Pct,Q2_A3_Prop_Pop_Pct,Q3_A3_Prop_Pop_Pct,Q4_A3_Prop_Pop_Pct,Q5_A3_Prop_Pop_Pct
K0M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.421289435246095,82.5787105647539,0.0,0.0,0.0
L0C,40.0,40.0,20.0,0.0,0.0,36.285714285714285,34.0,29.714285714285715,0.0,0.0,22.04131992539917,43.383924646589996,34.29443079957068,0.28032462844015604,0.0
L0E,0.0,80.0,20.0,0.0,0.0,0.0,83.26446280991735,16.735537190082646,0.0,0.0,0.0,67.45179766617109,32.548202333828904,0.0,0.0
L0G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.740309689811905,70.2596903101881,0.0,0.0
L0H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.370408453550784,46.03222045263733,24.444094554057614,1.1532765397542777,0.0
L0K,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,20.304527575047622,25.665482052047857,54.029990372904514,0.0,0.0
L3P,59.67741935483871,19.35483870967742,12.903225806451612,4.838709677419355,3.225806451612903,60.00533262231702,19.450739901346488,10.931875749900014,5.892547660311958,3.7195040661245167,58.83687509567781,19.711976393545147,10.777102256003541,7.108413164842914,3.5656330899306012
L3R,64.1025641025641,20.51282051282051,5.128205128205128,2.564102564102564,7.6923076923076925,41.18938053097345,25.295575221238938,4.368141592920354,3.702654867256637,25.444247787610617,41.99622449524854,24.528079260766727,4.3207095410773535,3.6624490923556823,25.49253761055169
L3S,98.24561403508771,0.0,1.7543859649122806,0.0,0.0,98.38680605623648,0.0,1.6131939437635183,0.0,0.0,98.37494381897466,0.0,1.6250561810253366,0.0,0.0
L3T,39.39393939393939,19.696969696969695,21.21212121212121,7.575757575757576,12.121212121212121,21.446687633154106,16.7495181089581,16.18139393324541,12.924824997463732,32.697575327178654,22.427106464724897,18.206357403862146,16.921113912599907,14.100008826933093,28.34541339187996
L3Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.185788304374196,46.96407431906836,30.852110749848038,19.998026626709397,0.0
L4A,27.27272727272727,29.545454545454547,27.27272727272727,9.090909090909092,6.8181818181818175,50.36057692307693,19.811698717948715,25.020032051282055,2.6141826923076925,2.1935096153846154,51.02084340973894,19.31843331278447,24.942147214899148,2.487643079377449,2.2309329831999953
L4B,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
L4C,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,22.19020172910663,77.80979827089337,0.0,0.0,0.0,22.640077774275717,77.35992222572429
L6B,42.857142857142854,28.57142857142857,28.57142857142857,0.0,0.0,51.62677368496489,38.58391858965171,9.789307725383404,0.0,0.0,52.39978151098275,38.3879194639961,9.212299025021165,0.0,0.0
L6C,77.08333333333334,12.5,2.083333333333333,8.333333333333332,0.0,77.68571153290299,18.286925522690048,0.3661239040369978,3.6612390403699777,0.0,78.17398420619139,17.880726682031302,0.4005131673928163,3.544775944384495,0.0
L6E,84.21052631578947,0.0,0.0,10.526315789473683,5.263157894736842,83.10828356271098,0.0,0.0,16.33341989093742,0.558296546351597,83.65990172138004,0.08037601261017117,0.0,15.67908595555902,0.5806363104507861
L6G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
L9L,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
L9P,8.0,40.0,28.000000000000004,20.0,4.0,5.92555077234743,38.440111420612816,30.08356545961003,23.47429729045328,2.0764750569764496,6.881877524904885,36.237434050244914,29.836072889786834,24.845132787009327,2.1994827480540335
M2H,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0
